term_ID,label_nl,label_en
10066313,(Trein)rails,Train rails/tracks
10013974,Acteur/Toneelspeler,(Stage) actor
10012295,Arts,Physician
10068419,Auto,Car
10014395,Baby,Baby
10067494,Beeld,Statue
10068030,Boog (wapen),Bow (weapon)
10068241,Boot,Boat
10066966,Brug,Bridge
10014272,Chauffeur,Driver
10068428,Fiets,Bicycle
10068425,Fietstaxi of riksja,Pedicab or rickshaw
10066785,Fontein,Fountain
10071843,Fotocamera,Photo Camera
10014225,Geestelijke (christendom),Cleric (Christianity)
10070866,Gereedschap,Tool
10068017,Geweer of machinegeweer,Rifle or machine gun
10066882,Graf,Grave
10069549,Heupdoek,Waistcloth
10069430,Hoed,Hat
10013562,Hond,Dog
10069442,Hoofddoek,Headscarf
10068062,Houw- of steekwapen,Bladed Weapon
10012346,Huispersoneel,Domestic servant
10069519,Jurk,Dress
10068004,Kanon,Cannon
10014248,Kantoormedewerker,Office worker
10068398,Kar,Cart
10012279,Kind,Child
10068409,Kinderwagen,Pram
10068053,Kris,Kris
10014115,Landarbeider,Agricultural labourer
10070869,Machine,Machine
10012284,Man,Man
10067738,Meubel,Furniture
10066934,Monument,Monument
10068431,Motorfiets,Motorcycle
10066262,Muziekinstrument,Musical instrument
10012469,Muzikant,Musician
10013554,Olifant,Elephant
10070210,Onderscheiding,Distinction/decoration
10012282,Onderwijzer,Teacher
10013555,Paard of ezel,Horse or donkey
10068439,Pantservoertuig,Armoured vehicle
10012348,Patiënt,Patient
10007105,Persoon,Person
10068011,Pistool of revolver,Handgun
10068317,Prauw of Kano,Pirogue or canoe
10068800,Radio,Radio
10070248,Reclamebord,Billboard
10068410,Rijtuig,Carriage
10013556,Rund,Cattle
10069694,Schild,Shield
10068242,Schip,Ship
10068081,Speer,Spear
10067770,Stoel,Chair
10068326,Stoomschip,Steamship
10067837,Tafel (meubilair),Table (furniture)
10068453,Tram,Tram
10068864,Trein,Train
10066123,Trom/trommel,Drum
10069596,Uniform,Uniform
10012466,Verkoper,Vendor
10012296,Verpleegkundige,Nurse
10013486,Visser,Fisherman/woman
10070229,Vlag,Flag
10068465,Vliegtuig,Aeroplane
10068383,Vrachtwagen of bus,Lorry or Bus
10012285,Vrouw,Women
10071074,Wandelstok,Walking Stick
10071460,Weefgetouw,Loom
10068312,Zeilboot,Sailboat
